Games,Year,City-Country,Continent
1,1924,Chamonix-France,Europe
2,1928,St. Moritz-Switzerland,Europe
3,1932,Lake Placid-United States North,America
4,1936,Garmisch-Partenkirchen-Germany,Europe
5,1948,St. Moritz-Switzerland,Europe
6,1952,Oslo-Norway,Europe
7,1956,Cortina d'Ampezzo-Italy,Europe
8,1960,Squaw Valley-United States North,America
9,1964,Innsbruck-Austria,Europe
10,1968,Grenoble-France,Europe
11,1972,Sapporo-Japan,Asia
12,1976,Innsbruck-Austria,Europe
13,1980,Lake Placid-United States North,America
14,1984,Sarajevo-Yugoslavia,Europe
15,1988,Calgary-Canada North,America
16,1992,Albertville-France,Europe
17,1994,Lillehammer-Norway,Europe
18,1998,Nagano-Japan,Asia
19,2002,Salt Lake City-United States North,America
20,2006,Turin-Italy,Europe
21,2010,Vancouver-Canada North,America
22,2014,Sochi-Russia,Europe
23,2018,Pyeongchang-South Korea,Asia
24,2022,Beijing-China,Asia
25,2026,Milan and Cortina d'Ampezzo-Italy,Europe
